date,months,strat_gross,strat_net,bench_gross,bench_net,alpha_net,bucket
2025-11-04,9.986859395532194,18.042706878883656,17.675544604592616,1.9102160090737763,1.5597677374184375,16.11577686717418,8-10m
2025-11-06,9.921156373193167,10.4448249661125,10.085534446985658,2.82155961153255,2.4701671459832566,7.615367301002402,8-10m
2025-11-07,9.888304862023652,2.488278152380032,2.1372309817533663,2.666382266873047,2.315150572190993,-0.1779195904376265,8-10m
2025-11-10,9.789750328515112,1.5679347151794425,1.2178410626895158,2.2385979863503986,1.8878094958610374,-0.6699684331715217,8-10m
2025-11-11,9.756898817345597,16.13650244909966,15.771315090283277,1.7908111075309507,1.4404865448462296,14.330828545437047,8-10m
2025-11-12,9.724047306176084,-2.583676110418723,-2.9294685031192254,1.2531692601688116,0.9034017191694912,-3.8328702222887165,8-10m
2025-11-13,9.69119579500657,-0.6960699500647994,-1.043817989577316,1.314286776478543,0.9644559149209097,-2.0082739044982256,8-10m
2025-11-14,9.658344283837057,2.674435586487507,2.323195548195871,1.2926786168135465,0.9428701423033089,1.3803254058925623,8-10m
2025-11-17,9.559789750328514,12.182064222476384,11.820973843566943,0.6532539749141301,0.30410797374644943,11.516865869820494,8-10m
2025-11-18,9.526938239159001,4.273627348401772,3.920730473881971,1.2674635371126906,0.9176811865849217,3.003049287297049,8-10m
2025-11-19,9.494086727989487,3.710084029687974,3.3577710119693562,1.0078896819131222,0.6583762618397313,2.699394750129625,8-10m
2025-11-20,9.461235216819974,2.3872508425939136,2.03630834090745,0.9712267218828432,0.621751286322535,1.4145570545849149,8-10m
2025-11-21,9.42838370565046,1.907070039833539,1.5566250275470508,1.8425893522309094,1.4922111449028985,0.06441388264415226,8-10m
2025-11-24,9.329829172141919,7.0658139550614765,6.710024246776594,2.4254421932064476,2.0744601235239406,4.635564123252653,8-10m
2025-11-25,9.296977660972404,9.76741926387171,9.40883056821305,2.259215262960707,1.9084054120243858,7.500425156188664,8-10m
2025-11-26,9.264126149802891,20.81063323677683,20.4406032634544,0.8817723467730244,0.5323895900602399,19.908213673394158,8-10m
2025-11-27,9.231274638633376,11.346124777537295,10.98590047034603,0.9458282626686717,0.5963791410804457,10.389521329265584,8-10m
2025-11-28,9.198423127463863,14.42699669882841,14.063580466606572,1.0373278747571317,0.687783955361786,13.375796511244786,8-10m
2025-12-01,9.099868593955321,-3.3677488207827024,-3.712728878087926,1.0554251772182999,0.7058625081851488,-4.418591386273075,8-10m
2025-12-02,9.067017082785808,-3.7544140393980063,-4.098993493750146,1.1964445433704183,0.8467357717870433,-4.945729265537189,8-10m
2025-12-03,9.034165571616294,0.45075045215428294,0.1018142539513276,2.0497500325716675,1.6991571972494224,-1.5973429432980948,8-10m
2025-12-04,9.00131406044678,-9.668109868514831,-10.006562461957994,1.769761426288617,1.4194586720419593,-11.426021133999953,8-10m
2025-12-05,8.968462549277266,-6.882043216644595,-7.223382303298166,1.282741764531987,0.932943585057804,-8.15632588835597,8-10m
2025-12-08,8.869908015768726,-5.534420812163925,-5.877156097619163,3.0788681823307558,2.727209133265925,-8.604365230885088,8-10m
2025-12-09,8.83705650459921,3.846415262045523,3.4939609988989373,2.942850698223047,2.5913325695285554,0.9026284293703819,8-10m
2025-12-10,8.804204993429698,1.593840304370702,1.2437198124987194,3.340233936594014,2.988304100584941,-1.7445842880862217,8-10m
2025-12-11,8.771353482260183,3.9336597449083657,3.5811150924642874,2.68196597259489,2.3307181324768447,1.2503969599874427,8-10m
2025-12-12,8.73850197109067,-12.401072822904837,-12.736693941010959,1.9075738262112694,1.5571282919789209,-14.29382223298988,8-10m
2025-12-15,8.639947437582128,-19.53659055924691,-19.86481895274437,1.8495727123632475,1.4991872699529,-21.36400622269727,8-10m
2025-12-16,8.607095926412615,-20.664202268198046,-20.99126240409489,2.584546365593756,2.233399456669861,-23.22466186076475,8-10m
2025-12-17,8.5742444152431,-17.664340705490634,-17.994508835960076,2.926146353156666,2.574645530932067,-20.569154366892143,8-10m
2025-12-18,8.541392904073588,-5.84269582429909,-6.185111722661111,3.097590985365072,2.7459125386150434,-8.931024261276155,8-10m
2025-12-19,8.508541392904073,-10.374448033476636,-10.712168828089341,2.187193354957128,1.8364581220304814,-12.548626950119823,8-10m
2025-12-22,8.409986859395532,-7.323485201904253,-7.664366934354765,1.3978751889941505,1.047957725996092,-8.712324660350857,8-10m
2025-12-23,8.377135348226018,-10.941178540905275,-11.278312176642682,1.1808977276024029,0.8312050632353027,-12.109517239877984,8-10m
2025-12-24,8.344283837056505,-14.405784125258132,-14.739328270238294,1.508438187953842,1.15840617660295,-15.897734446841245,8-10m
2025-12-26,8.278580814717477,-11.928381213431976,-12.264492061789326,1.6249031861195715,1.2747505116732025,-13.539242573462529,8-10m
2025-12-29,8.180026281208935,1.4896559603014303,1.1396434082023859,2.033049188935504,1.6824736564555038,-0.542830248253118,8-10m
2025-12-30,8.147174770039422,12.299754343980501,11.93854203269144,1.9648831095741353,1.6143782002880063,10.324163832403434,8-10m
2025-12-31,8.114323258869907,13.280683940273633,12.918455340800048,0.9959899423576436,0.6464888509618082,12.27196648983824,8-10m
2026-01-01,8.081471747700395,24.518048790743016,24.144177764365562,0.906541226508949,0.5571328080973946,23.587044956268166,8-10m
2026-01-02,8.04862023653088,9.568061550510233,9.20967939861307,-0.011449815550108213,-0.35990715301450454,9.569586551627573,8-10m
2026-01-05,7.9500657030223385,2.7110888745443895,2.3598108617602707,-0.02069097493396388,-0.3691387381321519,2.7289495998924225,6-8m
2026-01-06,7.917214191852825,-7.997161447174774,-8.337345220046075,-0.10288018337328754,-0.4512427947708237,-7.886102425275251,6-8m
2026-01-07,7.884362680683311,-2.759688903500206,-3.1052989388504884,-0.3502508693894044,-0.6983571933771777,-2.4069417454733104,6-8m
2026-01-08,7.851511169513797,3.8596343608296024,3.5071664020886004,1.5450531876561422,1.194983241481285,2.312183160607315,6-8m
2026-01-09,7.818659658344283,1.2261173876746239,0.876377873659593,2.3147818658630714,1.9639144453700714,-1.0875365717104786,6-8m
2026-01-12,7.720105124835742,-1.2857976579730335,-1.6329347124526818,2.110104916271498,1.7594495505134229,-3.3923842629661047,6-8m
2026-01-13,7.687253613666228,-10.15250970174634,-10.490460434679889,2.2677326165303504,1.9169139412239273,-12.407374375903817,6-8m
2026-01-14,7.654402102496714,-10.854654141602449,-11.191877420597656,2.1172450852220646,1.7665823219205006,-12.958459742518157,6-8m
2026-01-15,7.621550591327201,-14.759326140224811,-15.092503999414538,1.2184886333308855,0.868757023056289,-15.961261022470827,6-8m
2026-01-16,7.588699080157687,-19.630447862119976,-19.958579015134216,1.9291250073225088,1.5786571450751872,-21.537236160209403,6-8m
2026-01-19,7.490144546649145,0.2001510041061799,-0.14852556154101748,2.1915077640034344,1.8407680611505641,-1.9892936226915816,6-8m
2026-01-20,7.457293035479632,-11.195841692798368,-11.532711485795911,4.577930338460435,4.224718192044988,-15.7574296778409,6-8m
2026-01-21,7.424441524310118,-17.679691923535138,-18.00984414943653,5.0911735608162285,4.7374296708132375,-22.747273820249767,6-8m
2026-01-22,7.391590013140604,2.865895805802213,2.514457405916196,3.93580459288718,3.5832577182819443,-1.0688003123657484,6-8m
2026-01-23,7.35873850197109,1.9991646100612435,1.6486241835636464,5.936364461490882,5.5817449148360145,-3.933120731272368,6-8m
2026-01-27,7.227332457293035,-15.942747442698252,-16.2745140326025,5.209888207117619,4.856021323280203,-21.130535355882703,6-8m
2026-01-28,7.194480946123521,-7.330676546880897,-7.671550828767209,3.8575039325147205,3.5050381809954567,-11.176589009762665,6-8m
