rule,n,gross%,net%,net_med%,alpha_gross%,win%,avg_days,sharpe,worst%,best%
hold 5d,1160,0.32993342421095434,-0.01887760199346594,-0.1919774708361604,-0.04977241591716746,47.672413793103445,5.0,-0.028675432972922188,-22.06134479093341,27.548823246109922
hold 7d,1160,0.307888780932917,-0.04089940600701329,-0.09860807380616515,-0.1432708186238627,48.87931034482759,7.0,-0.043271799550046626,-28.36691512127947,34.717486849806356
hold 10d,1160,0.7745115101054205,0.4252398805534218,0.2321639208299621,0.04221139662843243,51.637931034482754,10.0,0.3225975781479728,-24.96684257405747,50.77632300873365
hold 15d,1160,1.0632374513385274,0.7136666884300178,0.35680521065521176,-0.05207479846148188,52.06896551724138,15.0,0.36590848718605706,-59.61730133200278,44.871788989194485
hold 20d,1160,1.344493287943879,0.9946311310508781,0.7105149779506512,-0.14320540209991886,53.879310344827594,20.0,0.38599325445772364,-59.464488374041416,45.36284736463374
trail 2% /20d,1160,0.4716188316366568,0.12266101283261499,-1.5059641534171593,0.020500975109835097,36.896551724137936,6.541379310344827,0.13888211770500994,-9.431755197530233,44.544572761183886
trail 3% /20d,1160,0.693560121237246,0.3443723610478787,-1.733416633494289,0.11067418837609966,38.362068965517246,9.15948275862069,0.27534256867411055,-10.16771414522184,45.36284736463374
trail 4% /20d,1160,0.7866313170158468,0.43734713078637794,-1.7230974990699437,0.05399407807747869,41.46551724137931,11.718103448275862,0.28165504451979323,-13.26506777475065,45.36284736463374
trail 6% /20d,1160,0.816233042230163,0.4669181872516929,-1.2062616629691405,-0.10845393128207012,45.3448275862069,14.972413793103449,0.23977491951536367,-13.848967997601013,45.36284736463374
SL 2% /20d,1160,0.5713870423732013,0.22232585911349864,-2.7099143172012337,-0.10389438922866638,32.1551724137931,10.675862068965516,0.154959915243431,-9.935816281381793,44.544572761183886
SL 3% /20d,1160,0.8080329089507049,0.4587265496875183,-3.4504618454041696,0.010019601883509982,39.310344827586206,12.812931034482759,0.2664349778878628,-13.26506777475065,45.36284736463374
SL 5% /20d,1160,0.8942455104805821,0.5448538145339216,-1.1755174975341172,-0.09502054284824538,47.41379310344828,15.595689655172414,0.2561620204837183,-63.9160199059529,45.36284736463374
SL 8% /20d,1160,1.0526559219907792,0.7031001055709151,0.3898855767610575,-0.14114431407414538,51.98275862068965,17.976724137931033,0.2922191852162952,-63.9160199059529,45.36284736463374
TP 2% /20d,1160,0.4535246438033636,0.10458557141025006,1.649458708,0.011106163702725623,83.27586206896552,6.780172413793103,0.16209128390396188,-24.833769404927374,2.0
TP 3% /20d,1160,0.49185107247058174,0.14287229213435293,2.6484226619999998,-0.047679193260893024,74.82758620689656,9.343103448275862,0.1524094572109451,-24.833769404927374,3.0
TP 5% /20d,1160,0.6826473142243193,0.33347086020500655,4.64635057,-0.16256717399607068,64.22413793103449,13.11293103448276,0.24038047994087264,-24.833769404927374,5.0
TP 8% /20d,1160,0.8385922434024361,0.4892542232630282,1.4246659298493773,-0.2561647096795451,56.55172413793104,16.30344827586207,0.2641754661317431,-59.464488374041416,8.0
TP5/SL3 /20d,1160,0.3762871272616476,0.027428076488596655,0.31462561813917483,0.02888093214866085,50.172413793103445,7.221551724137931,0.03561167125461234,-10.16771414522184,5.0
TP5/SL5 /20d,1160,0.4057492890072858,0.05685971407940694,4.64635057,-0.06228741419850366,57.84482758620689,9.363793103448275,0.05632577288905022,-13.848967997601013,5.0
TP8/SL5 /20d,1160,0.47771259963066065,0.12875245094015425,0.1130562497259417,-0.15827187683544375,50.3448275862069,12.162931034482758,0.08951311856935273,-63.9160199059529,8.0
TP3/SL3 /20d,1160,0.28026216988887737,-0.06849739461118753,2.6484226619999998,0.08422253303806695,61.98275862068966,4.801724137931035,-0.14057346868718218,-10.16771414522184,3.0
